SECID,BOARDID,BID,OFFER,SPREAD,OPEN,HIGH,LOW,LAST,QUANTITY,LASTCHANGE,SETTLEPRICE,SETTLETOPREVSETTLE,OPENPOSITION,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,UPDATETIME,LASTCHANGEPRCNT,BIDDEPTH,BIDDEPTHT,NUMBIDS,OFFERDEPTH,OFFERDEPTHT,NUMOFFERS,TIME,SETTLETOPREVSETTLEPRC,SEQNUM,SYSTIME,TRADEDATE,LASTTOPREVPRICE,OICHANGE,OPENPERIODPRICE,SWAPRATE,TRADE_SESSION_DATE,LAST_RUB
CEU6,RFUD,14223,14228,5,14219,14242,14023,14227,15,2,14227,20,106482,3928,69265,814108364,9883050,17:50:20,0.01,,,,,,,17:49:20,0.14,20260813180522,2026-08-13 18:05:22,2026-08-13,0.44,-4636,14219.00000,0.00000,2026-08-13,11808
CEZ6,RFUD,14257,14267,10,14235,14271,14055,14257,1,7,14257,16,28516,381,2030,23848134,289510,17:50:18,0.05,,,,,,,17:26:35,0.11,20260813180520,2026-08-13 18:05:20,2026-08-13,0.2,684,0.00000,0.00000,2026-08-13,11833
CFU6,RFUD,0.8094,0.81,0.0006,0.8121,0.8121,0.8092,0.81,5,-0.0003,0.81,0.001,334,10,50,4134056,50186,17:48:50,-0.04,,,,,,,17:13:12,0.12,20260813180350,2026-08-13 18:03:50,2026-08-13,-0.18,-44,0.00000,0.00000,2026-08-13,82722
CFZ6,RFUD,0.8004,0.813,0.0126,0,0,0,0,0,0,0.8067,0.001,12,0,0,0,0,17:48:51,0,,,,,,,17:48:51,0.12,20260813180351,2026-08-13 18:03:51,,,0,0.00000,0.00000,2026-08-13,0
CIU6,RFUD,54.6,54.86,0.26,54.75,54.75,54.75,54.75,37,0,54.75,-0.52,1986,1,37,168133,2041,17:50:01,0,,,,,,,09:20:54,-0.95,20260813180502,2026-08-13 18:05:02,2026-08-13,-0.96,-74,0.00000,0.00000,2026-08-13,4544
CIZ6,RFUD,54.4,55.63,1.23,0,0,0,0,0,0,55.16,-0.52,170,0,0,0,0,17:50:01,0,,,,,,,17:50:01,-0.94,20260813180502,2026-08-13 18:05:02,,,0,0.00000,0.00000,2026-08-13,0
CKU6,RFUD,6584,6591,7,6781,6788,6540,6578,1,-8,6581,-277,29034,4060,14533,96716680,1174114,17:50:20,-0.12,,,,,,,17:47:14,-4.21,20260813180522,2026-08-13 18:05:22,2026-08-13,-2.86,-4402,0.00000,0.00000,2026-08-13,6578
CKZ6,RFUD,6802,6811,9,7015,7015,6764,6798,3,20,6799,-262,2006,138,318,2191337,26602,17:50:16,0.3,,,,,,,17:42:35,-3.85,20260813180518,2026-08-13 18:05:18,2026-08-13,-3.09,-58,0.00000,0.00000,2026-08-13,6798
CMU6,RFUD,10877,10901,24,10283,11250,10190,10879,3,-35,10880,582,51232,6626,32375,352899107,4284098,17:50:22,-0.32,,,,,,,17:48:55,5.35,20260813180523,2026-08-13 18:05:23,2026-08-13,5.89,1272,0.00000,0.00000,2026-08-13,10879
CMZ6,RFUD,9794,9876,82,9391,10278,9330,9750,1,-90,9797,245,3538,628,1607,15859035,192524,17:50:21,-0.91,,,,,,,17:40:28,2.5,20260813180522,2026-08-13 18:05:22,2026-08-13,2.63,1590,0.00000,0.00000,2026-08-13,9750
CNYRUBF,RFUD,12.473,12.474,0.001,12.318,12.494,12.309,12.473,1,0.001,12.473,0.18,19531474,58645,4078061,50697709310,615456166,17:50:21,0.01,,,,,,,17:50:21,1.44,20260813180522,2026-08-13 18:05:22,2026-08-13,1.3,301122,12.31800,0.00596,2026-08-13,12473
